,CSF,WM,GM
113.0,1.0,0.0,0.0
119.0,1.0,0.0,0.0
122.0,1.0,0.0,0.0
123.0,1.0,0.0,0.0
125.0,1.0,0.0,0.0
126.0,1.0,0.0,0.0
127.0,1.0,0.0,0.0
128.0,1.0,0.0,0.0
129.0,1.0,0.0,0.0
130.0,1.0,0.0,0.0
131.0,1.0,0.0,0.0
132.0,1.0,0.0,0.0
133.0,1.0,0.0,0.0
134.0,1.0,0.0,0.0
135.0,1.0,0.0,0.0
136.0,1.0,0.0,0.0
137.0,1.0,0.0,0.0
138.0,1.0,0.0,0.0
139.0,1.0,0.0,0.0
140.0,1.0,0.0,0.0
141.0,1.0,0.0,0.0
142.0,1.0,0.0,0.0
143.0,1.0,0.0,0.0
144.0,1.0,0.0,0.0
145.0,1.0,0.0,0.0
146.0,1.0,0.0,0.0
147.0,1.0,0.0,0.0
148.0,1.0,0.0,0.0
149.0,1.0,0.0,0.0
150.0,1.0,0.0,0.0
151.0,0.9993531972771389,0.0006468027228610716,0.0
152.0,0.9991839348060344,0.0008160651939655337,0.0
153.0,1.0,0.0,0.0
154.0,0.9995170962465639,0.0004829037534361075,0.0
155.0,1.0,0.0,0.0
156.0,1.0,0.0,0.0
157.0,1.0,0.0,0.0
158.0,1.0,0.0,0.0
159.0,1.0,0.0,0.0
160.0,0.9996795164677459,0.0003204835322540811,0.0
161.0,0.9994558085054438,0.000544191494556209,0.0
162.0,0.9992382977123838,0.0007617022876161706,0.0
163.0,0.9997933997321794,0.00020660026782059533,0.0
164.0,1.0,0.0,0.0
165.0,0.9997856538827848,0.0002143461172151718,0.0
166.0,0.9998267838907775,0.0001732161092224476,0.0
167.0,0.999835110215184,0.00016488978481593456,0.0
168.0,0.9994037864407282,0.0005962135592717868,0.0
169.0,0.9998389802441583,0.00016101975584168472,0.0
170.0,0.9998710589910417,0.0001289410089583354,0.0
171.0,0.9994684573945971,0.0005315426054029216,0.0
172.0,0.9995473636336896,0.0004526363663104257,0.0
173.0,0.999636498985858,0.00036350101414197314,0.0
174.0,0.9995428393393019,0.0004571606606981271,0.0
175.0,0.999672374271137,0.00032762572886307044,0.0
176.0,0.9998023288141203,0.00019767118587964494,0.0
177.0,0.9996553677428748,0.0003446322571252611,0.0
178.0,0.9998412162745545,0.00015878372544550444,0.0
179.0,0.999834712956074,0.00016528704392598475,0.0
180.0,0.999467081075073,0.0005329189249269866,0.0
181.0,0.9999265520086831,7.344799131690919e-05,0.0
182.0,0.999769833314995,0.0002301666850049652,0.0
183.0,0.9995330603137441,0.0004669396862558493,0.0
184.0,0.9998695883728642,0.00013041162713572953,0.0
185.0,0.9998752783522963,0.00012472164770375657,0.0
186.0,0.9999345410572689,6.545894273126806e-05,0.0
187.0,0.9997286912596451,0.0002713087403549479,0.0
188.0,0.9997412495292635,0.0002219667026784151,3.6783768058113444e-05
189.0,0.9998457386514569,0.0001542613485432197,0.0
190.0,0.9998424318848623,0.00015756811513774663,0.0
191.0,0.9996676123139948,0.0003323876860051489,0.0
192.0,0.9997859882045393,0.0002140117954606979,0.0
193.0,0.9998493518428913,0.00015064815710883378,0.0
194.0,0.999658553155098,0.0003414468449020255,0.0
195.0,0.99969874906868,0.00030125093132003685,0.0
196.0,0.9998081334273331,0.00019186657266688885,0.0
197.0,0.9995316029492692,0.0004683970507307405,0.0
198.0,0.9998056880114461,0.0001943119885538925,0.0
199.0,0.9997313823726366,0.00026861762736338045,0.0
200.0,0.9996698861818787,0.00030155760457605533,2.8556213545381792e-05
201.0,0.9996920697280715,0.0002772951635765819,3.063510835201049e-05
202.0,0.9997378822416052,0.00026211775839478477,0.0
203.0,0.9997544560244678,0.000245543975532265,0.0
204.0,0.9996658585194031,0.00033414148059686275,0.0
205.0,0.999872811983256,0.00012718801674414698,0.0
206.0,0.9997834892392599,0.00021651076074016447,0.0
207.0,0.9997021741858442,0.0002978258141558747,0.0
208.0,0.9997661724284954,0.00023382757150454652,0.0
209.0,0.9996339127371673,0.0003660872628327252,0.0
210.0,0.9995450441772888,0.0004549558227111857,0.0
211.0,0.999794390417018,0.00020560958298210285,0.0
212.0,0.9996120208030278,0.00036136393909807444,2.6615257874176035e-05
213.0,0.9995823580371299,0.0004176419628701202,0.0
214.0,0.9994515503242614,0.0004938859748830122,5.456370085553554e-05
215.0,0.9994994808432479,0.0005005191567520435,0.0
216.0,0.9994980890016912,0.0004756371952862136,2.6273803022560344e-05
217.0,0.9996063234531474,0.00039367654685264854,0.0
218.0,0.9997299138165331,0.00024321607601351762,2.6870107453450653e-05
219.0,0.9995541822398427,0.0004458177601573669,0.0
220.0,0.9994719194094009,0.0005280805905991484,0.0
221.0,0.999611231342575,0.00038876865742492657,0.0
222.0,0.9996517507412646,0.0003216017398445837,2.6647518890857664e-05
223.0,0.9996099050046886,0.00039009499531133385,0.0
224.0,0.9992420378841093,0.000757962115890674,0.0
225.0,0.999441245745513,0.0005587542544870558,0.0
226.0,0.9994268093608433,0.0005472781889400441,2.59124502167216e-05
227.0,0.9994870054718473,0.0005129945281526269,0.0
228.0,0.9995843821262616,0.00041561787373845704,0.0
229.0,0.9994800256534844,0.0004904211229974324,2.955322351826751e-05
230.0,0.9994315444898496,0.0005408762304070467,2.757927974347373e-05
231.0,0.9993885284857813,0.0005818052630440796,2.9666251174769582e-05
232.0,0.9994035306975161,0.000511675684857269,8.479361762666934e-05
233.0,0.9994256708832402,0.0005743291167598676,0.0
234.0,0.9994118189059917,0.0005881810940082935,0.0
235.0,0.9995118998183296,0.00045775685236691075,3.0343329303533268e-05
236.0,0.9994880109255766,0.00048288970123957446,2.9099373183967195e-05
237.0,0.9996409380669459,0.0003590619330540915,0.0
238.0,0.9995966012502029,0.0004033987497970512,0.0
239.0,0.999363620236347,0.0006055050598082763,3.0874703844858925e-05
240.0,0.9994369306768709,0.0005335940326219143,2.947529050726486e-05
241.0,0.9996978765966027,0.00023880478937155666,6.331861402571839e-05
242.0,0.9990649207192823,0.0009350792807176085,0.0
243.0,0.9996711778583579,0.0003288221416421362,0.0
244.0,0.9992209997823528,0.0007790002176472691,0.0
245.0,0.9993775727012313,0.0006224272987687321,0.0
246.0,0.9993023310828582,0.0006976689171418544,0.0
247.0,0.9993458558933419,0.0006224075450664285,3.1736561591766575e-05
248.0,0.9993690597220216,0.0006309402779783401,0.0
249.0,0.9993099790538541,0.0006213727216047981,6.864822454102928e-05
250.0,0.9994995514278002,0.0004661179485329626,3.4330623666961294e-05
251.0,0.9991462489744053,0.0007538147819558359,9.993624363889683e-05
